Year,1,2,3,4,5,6,7+
1980,53,2597.785,1252.568,370.272,324.25,50.3,132.95
1981,16,2403.1975,5865.539,1642.96,191.85,106.35,237.85
1982,265,1368.7225,5963.692,2262.416,504.6,137.75,178.6
1983,92,2976.96,2761.485,4047.856,617.05,150.6,214.35
1984,350,1838.3375,6309.9165,1927.92,1241.55,356.2,312.4
1985,142,5613.965,5347.1855,3346.088,273.9,409.2,299.9
1986,679,4798.59,6071.8115,2509.848,965.3,375.45,246.65
1987,25,8350.3125,6481.0455,2379.376,832.55,287,512.15
1988,16,4923.3475,16239.2405,3357.472,741,361.6,560.95
1989,826,3574.43,6238.285,6477.144,1769.8,392.35,497.35
1990,1632,2580.98,7549.896,4099.144,2386.2,535.15,572.25
1991,1542,5757.5275,4699.8465,3099.408,1614.1,1122.65,428.85
1992,1665,6084.6775,3841.2685,1182.744,785.95,696.9,744.6
1993,740,7473.01,3294.738,862.76,358.7,312.65,581.2
1994,1242,3569.5275,6014.7685,2131.32,563.35,279.9,781.2
1995,2592,4264.145,2531.6575,2006.352,610.65,151.95,591.45
1996,1119,4762.2725,3112.676,1059.656,951.1,325.5,584.9
1997,550,4168.0975,6184.0935,2381.936,723.8,505.65,721.6
1998,464,4323.2675,7466.657,2335.112,359.55,94.25,289.3
1999,741,1736.745,10492.7735,4583.008,695.9,120.95,223.05
2000,1383,6176.755,3432.396,3991.832,751.75,149.7,141.75
2001,2682,4070.3725,3589.3725,1384.712,1253.1,202.75,145.4
2002,902,6876.3025,4552.6415,1389.704,1144.45,602.65,287.55
2003,0,3596.9912294175,2103.170395892,1380.332853312,350.3773521,356.4571066,758.1644132
2004,921.504887,2717.706090005,4572.824900772,760.485419456,400.09944595,218.7552214,527.06305055
2005,86.256757,2601.6825853925,2153.401632244,1974.945504216,449.0331764,245.20288595,507.9317588
2006,190.543308,2800.926511915,3080.9715653995,1626.009982888,986.7691058,165.91553995,378.98312775
2007,528.820078,2986.102772695,2378.691378171,1236.698512872,533.51755515,395.2597148,274.1673728
2008,292.548732,3843.5918950775,2511.8016806535,1124.84041872,583.951215,217.77419985,258.13905815
2009,491.437754,2974.6512474625,3112.194346851,847.705218616,402.4867196,241.76127635,240.13935815
2010,529.695809,4237.611518135,3367.2378596165,1464.924018968,392.02132965,278.1231332,287.38958025
2011,93.326952,4435.8028042375,3556.6088780485,964.279152248,316.08285795,58.7080527,119.3347392
2012,17.88742,1265.7106319775,3780.1465389475,1844.746740856,524.1656039,194.9841411,170.50162695
2013,9.474511,755.911176695,3666.190822524,3293.991028056,1158.43851165,246.56931555,156.35601205
2014,75.921457,758.9143403375,2014.907829801,3731.318764608,1848.1678519,467.5321952,201.62087155
2015,2.758861,600.250014683375,1522.9485712795,1483.382639248,1933.087566325,939.876658465,642.335302173
