Year,1,2,3,4,5,6
1993,867.4287825,344.8955655,125.8471964,31.95775576,8.658407294,10.29580058
1994,347.4850899,147.8813318,67.5869541,26.21535399,11.64864337,23.90392068
1995,336.4829915,364.1256753,142.0631517,101.1338633,27.18601262,62.22477303
1996,243.7542288,180.6639785,26.61287034,12.91243045,15.06717884,21.62489462
1997,800.7359722,267.0910349,245.8189993,20.77554292,8.553243504,48.00623797
1998,415.3329629,406.1840569,93.73531388,29.25984548,0,10.90751827
1999,529.1169384,254.1312074,391.9698884,76.07206331,12.40518865,16.13907265
2000,653.6328317,655.4144392,201.1331868,192.5924094,50.44978408,23.22766773
2001,290.7759175,187.480178,81.58057049,75.11551463,35.3711402,10.06573995
2002,584.8509981,302.5781267,189.7086834,69.77828026,51.39798788,29.15088487
2003,304.0046636,459.9872198,81.80794176,16.76415083,17.21206297,18.51412587
2004,388.3027747,280.7369211,137.0221533,39.95540279,4.34398821,28.61400632
2005,405.8614273,745.7793584,360.044779,114.1804689,32.06502689,23.44677833
2006,684.3336833,447.4381101,152.028837,61.40122746,32.68785509,16.69521133
2007,445.9575528,395.4247952,237.1863746,105.1123537,33.51809664,9.357811079
2008,234.9552745,641.5887634,140.1203905,46.78900437,12.22972261,17.9283194
2009,293.8251921,223.1196048,94.6317942,27.79955213,6.818007776,14.69504036
2010,745.4712053,466.7700128,109.5448009,28.9907065,7.462612287,16.73740195
2011,1973.877425,2370.235987,734.3266772,116.8307926,12.95513885,83.18886514
2012,557.3119504,1503.569485,1282.016571,257.868084,97.02238431,30.54448245
2013,716.3823413,566.9405571,1148.158737,288.3992466,88.07432429,19.32931389
2014,556.2153375,470.0480369,542.6500799,708.5775162,172.2120331,32.59497121
2015,96.75191687,682.9784779,556.4846423,152.7578738,173.2270411,61.85644206
