Year,1,2,3,4,5,6,7+
1980,0.171,0.332,0.482,0.622,0.751,0.87,1.19743061301241
1981,0.11,0.216,0.317,0.414,0.506,0.594,0.924464158082825
1982,0.105,0.208,0.308,0.406,0.502,0.596,0.869465285554311
1983,0.097,0.192,0.286,0.379,0.47,0.56,0.854311639841381
1984,0.082,0.164,0.248,0.333,0.42,0.507,0.738421414852753
1985,0.084,0.171,0.259,0.348,0.44,0.533,0.777533011003668
1986,0.101,0.205,0.311,0.42,0.532,0.646,0.849839245894993
1987,0.122,0.242,0.361,0.479,0.596,0.712,0.929307038953432
1988,0.084,0.168,0.254,0.34,0.427,0.514,0.714570995632409
1989,0.079,0.162,0.25,0.342,0.439,0.541,0.855051271740223
1990,0.085,0.23,0.322,0.346,0.465,0.549,1.11848064657055
1991,0.143,0.219,0.275,0.335,0.375,0.472,0.958318992654774
1992,0.088,0.241,0.336,0.421,0.477,0.521,0.724837160891754
1993,0.108,0.258,0.296,0.379,0.493,0.539,0.727201737783895
1994,0.165,0.198,0.276,0.331,0.383,0.493,0.865641321044547
1995,0.124,0.257,0.286,0.354,0.442,0.707,0.854503001098994
1996,0.178,0.229,0.263,0.347,0.354,0.474,0.933764318686955
1997,0.059,0.202,0.256,0.266,0.417,0.53,0.902032912971175
1998,0.072,0.203,0.273,0.361,0.53,0.67,0.872901486346353
1999,0.072,0.172,0.213,0.351,0.429,0.644,0.903826944631249
2000,0.068,0.184,0.204,0.246,0.355,0.554,0.928329453262787
2001,0.093,0.206,0.274,0.338,0.404,0.624,1.10386004126547
2002,0.102,0.206,0.281,0.379,0.467,0.558,0.80941105894627
2003,NA,0.30588,0.40331,0.52809,0.67309,0.59191,0.960981973412543
2004,0.28019,0.36629,0.50831,0.57092,0.70127,0.78759,0.861118692312489
2005,0.17433,0.29909,0.37708,0.48888,0.67174,0.68256,1.00970115518923
2006,0.21979,0.26977,0.34256,0.41895,0.50553,0.63662,0.937511870514109
2007,0.06303,0.24674,0.39057,0.54343,0.57905,0.6559,0.824732111356622
2008,0.12108,0.24526,0.30061,0.36782,0.44829,0.46168,1.00464958915124
2009,NA,0.2677,0.35814,0.48671,0.47606,0.7186,1.03594642822394
2010,NA,0.2805,0.35416,0.41505,0.45474,0.56051,0.718905555323904
2011,0.18885,0.23786,0.40206,0.53541,0.73744,0.79067,0.907739629358473
2012,NA,0.25326,0.29828,0.42374,0.51669,0.62897,0.938277733693637
2013,0.17433,0.25188,0.27708,0.47938,0.45423,0.88603,0.995260706195541
2014,0.15746,0.25551,0.24323,0.38131,0.51796,0.7555,1.04246310032606
2015,0.15373,0.25325,0.25625,0.28718,0.36312,0.43613,0.782328812223409
