Year,1,2,3,4,5,6,7+
1980,0.0138004,0.13028,0.400872,0.311596,0.170516,0.0990706,0.0990706
1981,0.0151641,0.135083,0.437482,0.397358,0.238643,0.139975,0.139975
1982,0.0171941,0.147522,0.485567,0.474815,0.30375,0.185111,0.185111
1983,0.020738,0.178502,0.557166,0.498611,0.320219,0.21464,0.21464
1984,0.0254172,0.230258,0.646873,0.460697,0.281243,0.216699,0.216699
1985,0.0266535,0.262725,0.69836,0.417941,0.244133,0.208412,0.208412
1986,0.0204471,0.221842,0.64647,0.416047,0.248993,0.209747,0.209747
1987,0.0144166,0.158761,0.539217,0.449105,0.293379,0.225642,0.225642
1988,0.0155992,0.139092,0.469054,0.474335,0.341244,0.251207,0.251207
1989,0.0371468,0.195869,0.476332,0.451333,0.343745,0.278126,0.278126
1990,0.125351,0.349958,0.528068,0.398773,0.30541,0.285281,0.285281
1991,0.300703,0.534324,0.565018,0.349383,0.255481,0.250255,0.250255
1992,0.357016,0.567657,0.552624,0.322504,0.21723,0.190575,0.190575
1993,0.285807,0.503979,0.538842,0.329737,0.20742,0.155333,0.155333
1994,0.224973,0.466191,0.577294,0.390106,0.244557,0.168853,0.168853
1995,0.193077,0.459784,0.657503,0.505823,0.338275,0.236151,0.236151
1996,0.156364,0.413831,0.684624,0.623074,0.456956,0.325213,0.325213
1997,0.108013,0.303888,0.580475,0.645404,0.511905,0.348459,0.348459
1998,0.0803795,0.223953,0.458886,0.58061,0.472692,0.296764,0.296764
1999,0.0927587,0.230864,0.427367,0.497773,0.380464,0.22703,0.22703
2000,0.17698,0.370834,0.522322,0.436218,0.286588,0.1753,0.1753
2001,0.277201,0.584372,0.677027,0.395369,0.225355,0.151152,0.151152
2002,0.162058,0.530115,0.720835,0.371445,0.206725,0.159852,0.159852
2003,0.0386855,0.274851,0.605675,0.358628,0.220226,0.19884,0.19884
2004,0.0108886,0.144628,0.489654,0.348596,0.238685,0.240121,0.240121
2005,0.00943623,0.130815,0.458758,0.334538,0.232605,0.236526,0.236526
2006,0.019186,0.183017,0.491297,0.315021,0.204328,0.196747,0.196747
2007,0.0382231,0.261727,0.538045,0.291185,0.172489,0.15843,0.15843
2008,0.0402568,0.281089,0.54885,0.264552,0.147148,0.135287,0.135287
2009,0.0276595,0.23487,0.503962,0.237242,0.127529,0.115886,0.115886
2010,0.0179739,0.169381,0.40778,0.211011,0.11191,0.0917004,0.0917004
2011,0.0141284,0.118259,0.299842,0.187506,0.100218,0.0679323,0.0679323
2012,0.0145018,0.0910184,0.221664,0.168244,0.0937239,0.0543524,0.0543524
2013,0.0205087,0.0869097,0.181579,0.153926,0.0934989,0.0539198,0.0539198
2014,0.037611,0.101204,0.165418,0.143336,0.0985855,0.0655779,0.0655779
2015,0.0785829,0.130216,0.15898,0.134663,0.106881,0.088364,0.088364
