Year,1,2,3,4,5,6,7+
1980,66487.2,30226.8,9931.93,2438.46,1978.16,670.929,1875.38
1981,34816.7,46067.5,18640.7,4672.91,1254.42,1171.81,1620.07
1982,65693.4,24090.9,28273.5,8455.08,2206.32,694.146,1705.13
1983,59878.4,45363.3,14602.8,12222.2,3694.53,1143.94,1400.68
1984,61544.2,41201.6,26658.4,5876.41,5215.04,1884.26,1442.3
1985,77470,42150.2,22991.4,9807.33,2604.26,2765.45,1881.63
1986,155094,52991.8,22769.3,8033.81,4536.2,1433.21,2650.44
1987,94476,106749,29820.5,8379.96,3722.93,2484.31,2325.99
1988,61809.7,65420.1,63983.4,12217.6,3757.07,1950.4,2696.67
1989,41183.8,42749.6,39990.3,28119.7,5341.16,1876.29,2539.41
1990,42485.5,27876.9,24689.8,17447.6,12579.1,2660.72,2348.88
1991,73290.6,26330,13801,10229,8226.26,6511.22,2645.81
1992,88777.8,38115.8,10840.5,5510.32,5066.96,4476.09,5008.65
1993,41775.9,43642.1,15178.4,4382.25,2803.92,2864.55,5506.95
1994,35888.6,22052.2,18521.7,6220.99,2213.83,1600.79,5034.93
1995,62768.2,20132.7,9719.39,7304.92,2958.62,1217.83,3937.38
1996,69714.6,36352.8,8930.41,3537.85,3094.5,1481.94,2859.81
1997,118778,41885.8,16883.6,3163.69,1332.88,1376.53,2203.32
1998,56203.8,74899.5,21714,6637.7,1165.6,561.21,1774.93
1999,48589.6,36434.1,42059.9,9640.48,2609.23,510.402,1219.74
2000,62202.8,31110.7,20318.7,19271.5,4116.89,1252.94,968.577
2001,59642.8,36610,15083.7,8466.51,8752.24,2171.48,1309.69
2002,77267.3,31755.7,14337.1,5384.31,4005.42,4907.94,2102.48
2003,38573.7,46159.9,13129.5,4898.43,2608.94,2288.33,4197.32
2004,47696.9,26070,24634.8,5033.34,2404.13,1470.52,3734.64
2005,42294.8,33144.5,15848.2,10605.9,2495.24,1330.29,2876.09
2006,40842.5,29433.3,20429.1,7037.11,5332.23,1389.14,2332.58
2007,51775.4,28146.9,17219,8780.79,3607.73,3053.66,2147.58
2008,70735,35008.5,15220,7062.97,4610.25,2132.91,3118.54
2009,110054,47731.1,18567.3,6175.94,3808.42,2795.56,3222.37
2010,173358,75204.9,26512.4,7880.11,3422.32,2355.1,3765.04
2011,232267,119615,44600,12388.1,4482.72,2149.66,3922.72
2012,117472,160880,74658.4,23214.9,7214.74,2848.84,3985.72
2013,122771,81336.9,103187,42020.6,13783.2,4614.96,4547.33
2014,145350,84496.6,52383.4,60452.6,25308.3,8818.48,6098.7
2015,67953,98340.4,53646,31189.2,36797.3,16110.1,9814.25
