Year,Rec,Rec_lo,Rec_hi,SSB,SSB_lo,SSB_hi,Catch,Landings,Discards,Biomass,Fbar,Fbar_lo,Fbar_hi
1980,66487.2,50665.4754485481,87290.7692264904,8180.67852844,6045.5,10315.9,2292.44358652948,1826.087165845,466.356420684477,28372.386949292,0.24551365,0.161222,0.329798
1981,34816.7,26018.4192792463,46603.9229478142,10780.5120101586,8510.4,13051.6,3813.85965321971,3073.8493921144,740.010261105315,29819.40458421,0.3033645,0.222898,0.383822
1982,65693.4,49546.1580539382,87145.9867522749,13150.2907288988,10486.8,15813.2,5260.24982128031,4444.1605719211,816.089249359212,32644.32392045,0.36231075,0.266124,0.458496
1983,59878.4,44331.0228051249,80866.9103325349,13255.626371864,10613.4,15898.6,5338.95929498645,4386.394036028,952.56525895845,33027.83271986,0.397659,0.29625,0.49907
1984,61544.2,45941.3104000812,82526.9346792446,13272.5518155632,10604.8,15941.2,6159.73788324796,4892.50187096,1267.23601228796,33302.66031086,0.401378,0.310562,0.492198
1985,77470,59338.8788498402,101212.74837635,13237.019220234,10604.8,15869.2,6143.58394254037,4782.877967378,1360.70597516237,34213.82542266,0.3922115,0.300448,0.483972
1986,155094,121103.399380273,198709.651383509,13121.457814926,10705.4,15536.6,5965.23590288581,4513.786808097,1451.44909478881,44786.53601063,0.38031425,0.296386,0.464234
1987,94476,74692.8761169799,119474.710459097,15623.4091750742,13002.2,18243.8,6920.38662495086,5167.844835226,1752.54178972486,49409.50322088,0.37683575,0.300506,0.453174
1988,61809.7,48384.7519154976,78988.6934246991,20627.811622346,17229.6,24026.4,8921.09811994415,7189.933044106,1731.16507583815,47643.78650776,0.38396,0.302318,0.465602
1989,41183.8,31302.7114321011,54205.6269334848,22360.877262882,18889.2,25832.8,8803.61227255175,7346.753814335,1456.85845821675,39908.71392225,0.387384,0.312292,0.462468
1990,42485.5,30331.4376553676,59519.5435126954,19277.40196177,16096.4,22457.6,7417.79684755065,5952.110234259,1465.68661329165,32203.07945822,0.379383,0.305822,0.452938
1991,73290.6,47661.5370286747,112658.905800843,15254.43149462,12458.4,18049.6,6989.14755339509,4596.690150066,2392.45740332909,29840.17104539,0.35503425,0.281848,0.428212
1992,88777.8,58391.1724083722,135006.742416589,12403.9882821596,9950.2,14857.8,7137.77194559555,3916.202548503,3221.56939709255,30214.82782932,0.32073325,0.26034,0.38112
1993,41775.9,27719.7379556562,62950.2493157003,11262.496567142,9072.4,13451.6,5777.54153764578,3567.348202597,2210.19333504878,25238.06506981,0.307833,0.24744,0.36822
1994,35888.6,24734.6407598339,52054.1603123121,10630.6274353518,8682.48,12579.52,4838.40220093212,3391.480213293,1446.92198763912,20946.84657128,0.3452025,0.28105,0.40935
1995,62768.2,44820.4595259083,87867.0363275739,9206.0520401688,7518.56,10893.64,4796.81172310801,3267.03464577,1529.777077338,21282.71771669,0.434438,0.365814,0.503066
1996,69714.6,51377.725423639,94564.7439445632,7848.7041350581,6381.98,9315.42,5156.48376200892,3382.373498733,1774.11026327592,23498.40822174,0.52246675,0.434496,0.610444
1997,118778,92686.6751887033,152210.544110061,7922.3709083368,6464.38,9380.42,5486.44832289119,3551.516404523,1934.93191836819,31773.48060183,0.52156075,0.432146,0.610974
1998,56203.8,43980.4281865814,71861.7921627803,10351.271506535,8548.56,12153.44,5768.08805827182,4042.845335829,1725.24272244282,33532.82751544,0.452238,0.362634,0.541846
1999,48589.6,36527.4751413557,64613.5874695551,14137.5306058624,11748.4,16527.6,6628.87990995788,5136.999887537,1491.88002242088,32940.510108436,0.3831585,0.298758,0.467562
2000,62202.8,43113.0062624933,89717.3991774419,15532.699744218,12867.4,18198.6,7182.49645675755,5343.133542039,1839.36291471855,32473.090982183,0.355107,0.283034,0.427186
2001,59642.8,38403.3509848924,92605.1467922929,14013.2299407386,11412.2,16613.8,7420.75072408105,4921.227944295,2499.52277978605,31052.39123933,0.36222575,0.282508,0.441952
