Year,1,2,3,4,5,6,7+
1980,53,2598,1253,370,324,50,133
1981,16,2403,5866,1643,192,106,238
1982,265,1369,5964,2262,505,138,179
1983,92,2977,2761,4048,617,151,214
1984,350,1838,6310,1928,1242,356,312
1985,142,5614,5347,3346,274,409,300
1986,679,4799,6072,2510,965,375,247
1987,25,8350,6481,2379,833,287,512
1988,16,4923,16239,3357,741,362,561
1989,826,3574,6238,6477,1770,392,497
1990,1632,2581,7550,4099,2386,535,572
1991,1542,5758,4700,3099,1614,1123,429
1992,1665,6085,3841,1183,786,697,745
1993,740,7473,3295,863,359,313,581
1994,1242,3570,6015,2131,563,280,781
1995,2592,4264,2532,2006,611,152,591
1996,1119,4762,3113,1060,951,326,585
1997,550,4168,6184,2382,724,506,722
1998,464,4323,7467,2335,360,94,289
1999,741,1737,10493,4583,696,121,223
2000,1383,6177,3432,3992,752,150,142
2001,2682,4070,3589,1385,1253,203,145
2002,902,6876,4553,1390,1144,603,288
2003,0,3597,2103,1380,350,356,758
2004,922,2718,4573,760,400,219,527
2005,86,2602,2153,1975,449,245,508
2006,191,2801,3081,1626,987,166,379
2007,529,2986,2379,1237,534,395,274
2008,293,3844,2512,1125,584,218,258
2009,491,2975,3112,848,402,242,240
2010,530,4238,3367,1465,392,278,287
2011,93,4436,3557,964,316,59,119
2012,18,1266,3780,1845,524,195,171
2013,9,756,3666,3294,1158,247,156
2014,76,759,2015,3731,1848,468,202
2015,3,600,1523,1483,1933,940,642
