Year,1,2,3,4,5,6
1989,3.8,15.8,28.9,31.7,4,1.7
1990,9.2,9.4,11.1,11.7,12.6,1.5
1991,16.8,14.5,11.5,8.7,8.6,4.6
1992,22.4,21.3,6.6,6.6,7.2,5.4
1993,4.6,20.2,8,2.8,2.9,2.4
1994,9.3,8.5,10.1,5.9,2,0.6
1995,14.5,6.2,3.8,5.7,2.2,0.8
1996,22.1,17.3,1.7,1,2,1.3
1997,48.2,28.6,11,1.2,1.6,0.5
1998,30.6,37.9,12.1,5,0.6,0.6
1999,12.8,10.7,28.8,4.6,1.6,0.3
2000,19.5,30.2,18.8,20.5,5,1.3
2001,27.9,20.3,14.1,9.8,14.8,2.7
2002,37.9,25.9,12.5,5.5,2.6,5.3
2003,10.6,39.7,9.8,4.4,2.3,1.1
2004,52.9,22.5,20.7,4.8,1.1,0.3
2005,15.6,36.2,12.8,10,3.2,1.1
2006,30.1,28.8,16.8,5.9,4.3,1.3
2007,53.1,28.9,12.2,6.2,3.2,2.9
2008,39.6,40.6,10.5,4.3,3.8,1.8
2009,77.7,39.5,20.9,5.9,3.2,2.3
2010,64.2,64.7,17.7,9.1,3.1,1.7
2011,115.1,112.2,39.6,10.3,7,2.9
2012,24.7,81.1,56,18.6,4.2,3.3
2013,32.3,61,88.2,45,10.2,3.4
2014,145.3,156.5,50.7,62.1,26.7,9
2015,38,178.7,63.2,30.2,33.4,15.7
